 frequency       frequency       NF_dB           inoise_spectrum onoise_spectrum
 3.98107171e+08  3.98107171e+08  3.61970672e+00  1.38105555e-09  5.99099863e-11
 4.02717034e+08  4.02717034e+08  3.58409446e+00  1.37540480e-09  6.09790306e-11
 4.07380278e+08  4.07380278e+08  3.54893731e+00  1.36984894e-09  6.20690171e-11
 4.12097519e+08  4.12097519e+08  3.51423025e+00  1.36438622e-09  6.31803335e-11
 4.16869383e+08  4.16869383e+08  3.47996820e+00  1.35901491e-09  6.43133728e-11
 4.21696503e+08  4.21696503e+08  3.44614594e+00  1.35373329e-09  6.54685337e-11
 4.26579519e+08  4.26579519e+08  3.41275818e+00  1.34853966e-09  6.66462203e-11
 4.31519077e+08  4.31519077e+08  3.37979954e+00  1.34343231e-09  6.78468426e-11
 4.36515832e+08  4.36515832e+08  3.34726456e+00  1.33840959e-09  6.90708161e-11
 4.41570447e+08  4.41570447e+08  3.31514768e+00  1.33346984e-09  7.03185620e-11
 4.46683592e+08  4.46683592e+08  3.28344327e+00  1.32861141e-09  7.15905076e-11
 4.51855944e+08  4.51855944e+08  3.25214563e+00  1.32383267e-09  7.28870857e-11
 4.57088190e+08  4.57088190e+08  3.22124899e+00  1.31913202e-09  7.42087353e-11
 4.62381021e+08  4.62381021e+08  3.19074749e+00  1.31450786e-09  7.55559013e-11
 4.67735141e+08  4.67735141e+08  3.16063523e+00  1.30995861e-09  7.69290346e-11
 4.73151259e+08  4.73151259e+08  3.13090624e+00  1.30548271e-09  7.83285925e-11
 4.78630092e+08  4.78630092e+08  3.10155449e+00  1.30107861e-09  7.97550383e-11
 4.84172368e+08  4.84172368e+08  3.07257390e+00  1.29674478e-09  8.12088417e-11
 4.89778819e+08  4.89778819e+08  3.04395834e+00  1.29247970e-09  8.26904789e-11
 4.95450191e+08  4.95450191e+08  3.01570162e+00  1.28828187e-09  8.42004324e-11
 5.01187234e+08  5.01187234e+08  2.98779754e+00  1.28414980e-09  8.57391917e-11
 5.06990708e+08  5.06990708e+08  2.96023982e+00  1.28008204e-09  8.73072528e-11
 5.12861384e+08  5.12861384e+08  2.93302217e+00  1.27607712e-09  8.89051185e-11
 5.18800039e+08  5.18800039e+08  2.90613825e+00  1.27213361e-09  9.05332990e-11
 5.24807460e+08  5.24807460e+08  2.87958172e+00  1.26825008e-09  9.21923113e-11
 5.30884444e+08  5.30884444e+08  2.85334618e+00  1.26442514e-09  9.38826799e-11
 5.37031796e+08  5.37031796e+08  2.82742522e+00  1.26065739e-09  9.56049369e-11
 5.43250331e+08  5.43250331e+08  2.80181243e+00  1.25694546e-09  9.73596219e-11
 5.49540874e+08  5.49540874e+08  2.77650136e+00  1.25328800e-09  9.91472824e-11
 5.55904257e+08  5.55904257e+08  2.75148555e+00  1.24968366e-09  1.00968474e-10
 5.62341325e+08  5.62341325e+08  2.72675855e+00  1.24613112e-09  1.02823761e-10
 5.68852931e+08  5.68852931e+08  2.70231388e+00  1.24262906e-09  1.04713716e-10
 5.75439937e+08  5.75439937e+08  2.67814509e+00  1.23917621e-09  1.06638920e-10
 5.82103218e+08  5.82103218e+08  2.65424569e+00  1.23577128e-09  1.08599964e-10
 5.88843655e+08  5.88843655e+08  2.63060924e+00  1.23241301e-09  1.10597447e-10
 5.95662144e+08  5.95662144e+08  2.60722927e+00  1.22910016e-09  1.12631979e-10
 6.02559586e+08  6.02559586e+08  2.58409934e+00  1.22583151e-09  1.14704181e-10
 6.09536897e+08  6.09536897e+08  2.56121303e+00  1.22260584e-09  1.16814682e-10
 6.16595002e+08  6.16595002e+08  2.53856393e+00  1.21942195e-09  1.18964124e-10
 6.23734835e+08  6.23734835e+08  2.51614566e+00  1.21627868e-09  1.21153158e-10
 6.30957344e+08  6.30957344e+08  2.49395184e+00  1.21317487e-09  1.23382450e-10
 6.38263486e+08  6.38263486e+08  2.47197616e+00  1.21010936e-09  1.25652674e-10
 6.45654229e+08  6.45654229e+08  2.45021231e+00  1.20708104e-09  1.27964521e-10
 6.53130553e+08  6.53130553e+08  2.42865403e+00  1.20408879e-09  1.30318693e-10
 6.60693448e+08  6.60693448e+08  2.40729508e+00  1.20113153e-09  1.32715906e-10
 6.68343918e+08  6.68343918e+08  2.38612930e+00  1.19820817e-09  1.35156890e-10
 6.76082975e+08  6.76082975e+08  2.36515055e+00  1.19531767e-09  1.37642393e-10
 6.83911647e+08  6.83911647e+08  2.34435274e+00  1.19245898e-09  1.40173174e-10
 6.91830971e+08  6.91830971e+08  2.32372984e+00  1.18963109e-09  1.42750014e-10
 6.99841996e+08  6.99841996e+08  2.30327588e+00  1.18683298e-09  1.45373708e-10
 7.07945784e+08  7.07945784e+08  2.28298494e+00  1.18406368e-09  1.48045070e-10
 7.16143410e+08  7.16143410e+08  2.26285119e+00  1.18132222e-09  1.50764934e-10
 7.24435960e+08  7.24435960e+08  2.24286885e+00  1.17860765e-09  1.53534153e-10
 7.32824533e+08  7.32824533e+08  2.22303220e+00  1.17591904e-09  1.56353602e-10
 7.41310241e+08  7.41310241e+08  2.20333564e+00  1.17325549e-09  1.59224179e-10
 7.49894209e+08  7.49894209e+08  2.18377362e+00  1.17061610e-09  1.62146805e-10
 7.58577575e+08  7.58577575e+08  2.16434068e+00  1.16800001e-09  1.65122425e-10
 7.67361489e+08  7.67361489e+08  2.14503146e+00  1.16540637e-09  1.68152010e-10
 7.76247117e+08  7.76247117e+08  2.12584069e+00  1.16283434e-09  1.71236561e-10
 7.85235635e+08  7.85235635e+08  2.10676321e+00  1.16028312e-09  1.74377104e-10
 7.94328235e+08  7.94328235e+08  2.08779395e+00  1.15775192e-09  1.77574700e-10
 8.03526122e+08  8.03526122e+08  2.06892797e+00  1.15523998e-09  1.80830438e-10
 8.12830516e+08  8.12830516e+08  2.05016043e+00  1.15274656e-09  1.84145444e-10
 8.22242650e+08  8.22242650e+08  2.03148662e+00  1.15027093e-09  1.87520879e-10
 8.31763771e+08  8.31763771e+08  2.01290195e+00  1.14781240e-09  1.90957942e-10
 8.41395142e+08  8.41395142e+08  1.99440197e+00  1.14537028e-09  1.94457873e-10
 8.51138038e+08  8.51138038e+08  1.97598237e+00  1.14294395e-09  1.98021952e-10
 8.60993752e+08  8.60993752e+08  1.95763898e+00  1.14053275e-09  2.01651508e-10
 8.70963590e+08  8.70963590e+08  1.93936778e+00  1.13813611e-09  2.05347913e-10
 8.81048873e+08  8.81048873e+08  1.92116491e+00  1.13575343e-09  2.09112593e-10
 8.91250938e+08  8.91250938e+08  1.90302668e+00  1.13338418e-09  2.12947025e-10
 9.01571138e+08  9.01571138e+08  1.88494956e+00  1.13102783e-09  2.16852745e-10
 9.12010839e+08  9.12010839e+08  1.86693020e+00  1.12868388e-09  2.20831345e-10
 9.22571427e+08  9.22571427e+08  1.84896544e+00  1.12635187e-09  2.24884485e-10
 9.33254301e+08  9.33254301e+08  1.83105232e+00  1.12403136e-09  2.29013889e-10
 9.44060876e+08  9.44060876e+08  1.81318806e+00  1.12172194e-09  2.33221354e-10
 9.54992586e+08  9.54992586e+08  1.79537011e+00  1.11942324e-09  2.37508752e-10
 9.66050879e+08  9.66050879e+08  1.77759611e+00  1.11713490e-09  2.41878038e-10
